历史行情.指标排序000932 中证消费 日期:2020-07-20,一 指标:AB20 
代码   	名称	 涨幅%	 收盘	成交量	总金额	收盘	MA20	高于	
603866	桃李面包	0.64	56.99	4723900	266938016	56.990	52.452	1.111	
603517	绝味食品	-4.10	73.51	6943600	505306272	73.510	70.425	1.111	
603369	今世缘	-3.28	44.30	13739200	596852864	44.300	42.717	1.111	
603288	海天味业	0.65	130.95	4678200	611273920	130.950	126.405	1.111	
603156	养元饮品	2.63	24.97	5334000	130855856	24.970	23.586	1.111	
601933	永辉超市	1.47	9.67	91141104	865318912	9.670	9.639	1.111	
600887	伊利股份	-2.65	33.44	125281104	4167762432	33.440	32.863	1.111	
600827	百联股份	3.49	21.35	64406400	1343024000	21.350	19.811	1.111	
600811	东方集团	2.00	5.11	47065200	237849568	5.110	4.793	1.111	
600809	山西汾酒	-2.40	152.80	7752300	1162072832	152.800	150.669	1.111	
600779	水井坊	-3.48	68.80	9298600	627670464	68.800	66.681	1.111	
600737	XD中粮糖	2.49	8.23	18661300	152451088	8.230	7.992	1.111	
600598	北大荒	4.64	18.05	52128200	931816576	18.050	16.748	1.111	
600519	贵州茅台	-0.67	1636.96	4528000	7363823104	1636.96	1592.66	1.111	
600438	通威股份	10.00	22.00	110345000	2378010368	22.000	18.841	1.111	
600298	安琪酵母	-2.24	61.54	13821200	842329728	61.540	53.177	1.111	
600073	上海梅林	2.28	10.31	29853300	304757184	10.310	9.827	1.111	
300498	温氏股份	1.29	24.33	48150700	1165004288	24.330	23.352	1.111	
002714	牧原股份	2.65	96.98	39552000	3836873472	96.980	86.023	1.111	
002511	中顺洁柔	0.27	26.08	26243000	674912832	26.080	23.122	1.111	
002505	大康农业	2.02	2.52	126102200	314672256	2.520	2.384	1.111	
002385	大北农	1.61	10.11	141918896	1419150464	10.110	9.602	1.111	
002311	海大集团	-1.02	55.19	6743900	371873504	55.190	50.381	1.111	
002304	洋河股份	-0.19	128.19	10392700	1320738432	128.190	123.076	1.111	
002157	正邦科技	4.17	19.47	80425400	1545343360	19.470	18.666	1.111	
002124	天邦股份	0.41	17.15	84415504	1428137984	17.150	14.563	1.111	
000930	中粮科技	3.69	7.86	34716400	269855744	7.860	7.285	1.111	
000895	双汇发展	2.42	55.84	22175800	1236943104	55.840	47.708	1.111	
000876	新 希 望	2.62	31.71	41552900	1307128320	31.710	30.967	1.111	
000860	顺鑫农业	-1.01	64.80	17113700	1078377216	64.800	60.917	1.111	
000858	五 粮 液	-1.81	201.68	44290600	8808311808	201.680	192.112	1.111	
000848	承德露露	6.89	9.00	45735100	405136544	9.000	7.661	1.111	
000729	燕京啤酒	0.55	7.35	26049200	189782608	7.350	7.055	1.111	
000596	古井贡酒	-3.09	188.01	3070500	568566336	188.010	171.032	1.111	
000568	泸州老窖	-1.06	112.80	23736000	2627571712	112.800	108.434	1.111	
603983	丸美股份	-1.47	78.49	2242900	174852368	78.490	84.045	0.000	
603605	珀莱雅	-1.45	160.15	2433100	384812800	160.150	170.181	0.000	
603317	天味食品	-2.28	54.97	4702700	256637984	54.970	57.123	0.000	
603198	迎驾贡酒	0.09	22.36	14973200	327396384	22.360	23.527	0.000	
600597	光明乳业	1.40	15.24	24854000	371283424	15.240	15.342	0.000	
600315	上海家化	-1.64	43.67	9304100	402905216	43.670	46.481	0.000	
600132	重庆啤酒	-0.88	68.52	3426600	232496720	68.520	69.978	0.000	
002946	新乳业	0.79	17.89	5233900	92837640	17.890	18.083	0.000	
002557	洽洽食品	-0.32	50.34	12917000	646786112	50.340	53.547	0.000	
002507	涪陵榨菜	-0.72	37.33	18739800	692149440	37.330	37.558	0.000	
002458	益生股份	1.70	16.19	22029600	352895840	16.190	16.191	0.000	
000998	隆平高科	3.12	16.88	35913500	597063424	16.880	17.035	0.000	
000869	张 裕Ａ	0.57	33.38	5054100	167273744	33.380	33.523	0.000	
数据来源:通达信
